,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Constantine,DZ,58.41,clear sky,36.365,6.6147,Grand Hotel Cirta
306,Half Moon Bay,US,66.6,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
307,Mandal,IN,82.74,clear sky,25.45,74.5667,Hotel Radiance Bhilwara
309,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
310,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,H10 Taburiente Playa
312,Auki,SB,81.21,broken clouds,-8.7676,160.7034,Auki Motel
313,Socorro,US,70.48,few clouds,31.6546,-106.3033,guarderia imss papalote
314,Doha,QA,82.38,clear sky,25.2867,51.5333,Mövenpick Doha
316,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
317,Boende,CD,68.4,broken clouds,-0.2167,20.8667,
318,Liverpool,GB,50.83,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
322,Ahipara,NZ,63.28,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
323,Mangrol,IN,84.11,broken clouds,21.1167,70.1167,Hotel The Royal Honours
324,Mandali,IQ,77.32,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
325,Taoudenni,ML,85.95,few clouds,22.6783,-3.9836,
327,Sabang,ID,81.73,overcast clouds,5.8933,95.3214,Sulthan Hotel International
331,Nurota,UZ,61.72,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
332,Pundri,IN,70.92,overcast clouds,29.75,76.55,Jangra Dharamshala
333,Unai,BR,74.66,few clouds,-16.3575,-46.9061,Hotel Regente
335,Panguna,PG,75.94,light rain,-6.3164,155.4848,New Way
337,Jalali,IN,75.81,broken clouds,27.8667,78.2667,नगला खुमी Nagla Khumi
338,Victoria,HK,81.25,scattered clouds,22.2855,114.1577,Mini Central
340,Ames,US,62.87,clear sky,42.0347,-93.6199,Best Western Plus University Park Inn & Suites
341,Santa Maria,BR,52.9,overcast clouds,-29.6842,-53.8069,Hotel Morotin
342,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
343,Blackfoot,US,61.61,clear sky,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
345,Kruisfontein,ZA,71.22,overcast clouds,-34.0033,24.7314,Villa Petit
